task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
197	35/d27c82	37727	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D0465287_S01_L001)	COMPLETED	0	2025-04-17 17:03:19.016	8s	4s	98.5%	296.2 MB	954.8 MB	72.9 MB	42.2 MB
206	29/7535c7	38051	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D0717763_S01_L001)	COMPLETED	0	2025-04-17 17:03:23.494	4s	1s	100.3%	4.2 MB	26.6 MB	26.7 MB	7.1 KB
210	30/4bb6ed	38127	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D1130645_S01_L001)	COMPLETED	0	2025-04-17 17:03:24.036	4.1s	0ms	100.0%	2.8 MB	11 MB	63.7 KB	1.1 KB
208	9f/492b9e	38172	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D1130645_S01_L001)	COMPLETED	0	2025-04-17 17:03:24.319	4s	0ms	100.8%	4.3 MB	26.6 MB	18.2 MB	766 B
209	d4/983b8a	38211	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D1130645_S01_L001)	COMPLETED	0	2025-04-17 17:03:24.549	4s	1s	100.4%	6.8 MB	28.1 MB	18.2 MB	85.9 KB
207	98/e17dac	38089	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D1212247_S01_L001)	COMPLETED	0	2025-04-17 17:03:23.670	6.5s	3s	96.9%	178.1 MB	942.8 MB	46.4 MB	29.9 MB
204	96/93ebff	38012	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D0331520_S01_L001)	COMPLETED	0	2025-04-17 17:03:23.126	7.5s	4s	97.7%	230.6 MB	942.8 MB	67.4 MB	42.3 MB
216	4d/df098c	38487	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D0717763_S01_L001)	COMPLETED	0	2025-04-17 17:03:28.512	2.3s	0ms	97.0%	2.8 MB	11 MB	64 KB	1.2 KB
215	52/c7a170	38448	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D0717763_S01_L001)	COMPLETED	0	2025-04-17 17:03:28.352	2.9s	1s	97.4%	4.2 MB	26.6 MB	26.7 MB	762 B
213	5f/deb5bb	38410	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D0465287_S01_L001)	COMPLETED	0	2025-04-17 17:03:28.142	3.3s	1s	95.8%	4.2 MB	26.6 MB	42.3 MB	6.8 KB
212	16/562367	38374	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D2306186_S01_L001)	COMPLETED	0	2025-04-17 17:03:27.494	5s	2s	99.0%	181.4 MB	942.8 MB	36.7 MB	18.8 MB
219	67/537fb8	38565	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D1212247_S01_L001)	COMPLETED	0	2025-04-17 17:03:30.611	3.1s	0ms	98.0%	4.2 MB	26.6 MB	30 MB	6.9 KB
221	91/209c47	38602	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D0331520_S01_L001)	COMPLETED	0	2025-04-17 17:03:30.843	3s	1s	101.0%	4.3 MB	26.6 MB	42.3 MB	6.9 KB
222	4d/9d9203	38691	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D0465287_S01_L001)	COMPLETED	0	2025-04-17 17:03:32.536	2s	0ms	34.0%	0	0	63.8 KB	1.2 KB
217	00/07b767	38526	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D0717763_S01_L001)	COMPLETED	0	2025-04-17 17:03:30.206	4.7s	2s	100.1%	7.3 MB	28.1 MB	26.7 MB	154.8 KB
211	35/98cb5e	38335	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D0305916_S01_L001)	COMPLETED	0	2025-04-17 17:03:26.982	8.2s	5s	99.2%	297 MB	954.8 MB	81.8 MB	49.5 MB
122	91/8a3c8b	37766	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D1251843_S01_L001)	COMPLETED	0	2025-04-17 17:03:19.619	16.5s	13s	223.5%	202.9 MB	695.2 MB	283.1 MB	285.3 MB
